カテゴリ	テーマ名	銘柄コード	銘柄名	寄与度
社会資本	セメント	4061	デンカ	
社会資本	セメント	4125	三和油化工業	
社会資本	セメント	4208	UBE	
社会資本	セメント	5232	住友大阪セメント	
社会資本	セメント	5233	太平洋セメント	
社会資本	セメント	5237	ノザワ	
社会資本	セメント	5279	日本興業	
社会資本	セメント	5285	ヤマックス	
社会資本	セメント	5290	ベルテクスコーポレーション	
社会資本	セメント	5351	品川リフラ	
社会資本	セメント	5356	美濃窯業	
社会資本	セメント	5357	ヨータイ	
社会資本	セメント	5391	エーアンドエーマテリアル	
社会資本	セメント	6171	土木管理総合試験所	
社会資本	セメント	8066	三谷商事	
社会資本	セメント	8104	クワザワホールディングス	
社会資本	セメント	9012	秩父鉄道	
社会資本	セメント	9036	東部ネットワーク	
社会資本	セメント	9380	東海運	
社会資本	送配電線	1832	北海電工	
社会資本	送配電線	1934	ユアテック	
社会資本	送配電線	1938	日本リーテック	
社会資本	送配電線	1939	四電工	
社会資本	送配電線	1942	関電工	
社会資本	送配電線	1944	きんでん	
社会資本	送配電線	1948	弘電社	
社会資本	送配電線	1950	日本電設工業	
社会資本	送配電線	1960	サンテック	
社会資本	送配電線	253A	ETSグループ	
社会資本	送配電線	4673	川崎地質	
社会資本	送配電線	5074	テスホールディングス	
社会資本	送配電線	5333	日本ガイシ	
社会資本	送配電線	5658	日亜鋼業	
社会資本	送配電線	5802	住友電気工業	
社会資本	送配電線	5803	フジクラ	
社会資本	送配電線	5922	那須電機鉄工	
社会資本	送配電線	5939	大谷工業	
社会資本	送配電線	5981	東京製綱	
社会資本	送配電線	6623	愛知電機	
社会資本	送配電線	6994	指月電機製作所	
社会資本	送配電線	7692	アースインフィニティ	
社会資本	送配電線	9501	東京電力ホールディングス	
社会資本	送配電線	9503	関西電力	
社会資本	送配電線	9504	中国電力	
社会資本	送配電線	9505	北陸電力	
社会資本	送配電線	9506	東北電力	
社会資本	送配電線	9507	四国電力	
社会資本	送配電線	9508	九州電力	
社会資本	送配電線	9509	北海道電力	
社会資本	送配電線	9511	沖縄電力	
社会資本	送配電線	9513	J-POWER	
社会資本	鉄道車両	1979	大気社	
社会資本	鉄道車両	2768	双日	
社会資本	鉄道車両	4224	ロンシール工業	
社会資本	鉄道車両	4613	関西ペイント	
社会資本	鉄道車両	5186	ニッタ	
社会資本	鉄道車両	5632	三菱製鋼	
社会資本	鉄道車両	5994	ファインシンター	
社会資本	鉄道車両	6268	ナブテスコ	
社会資本	鉄道車両	6346	キクカワエンタープライズ	
社会資本	鉄道車両	6472	NTN	
社会資本	鉄道車両	6501	日立製作所	
社会資本	鉄道車両	6505	東洋電機製造	
社会資本	鉄道車両	6647	森尾電機	
社会資本	鉄道車両	6654	不二電機工業	
社会資本	鉄道車両	6809	TOA	
社会資本	鉄道車両	6994	指月電機製作所	
社会資本	鉄道車両	7012	川崎重工業	
